engine,score,kind,pages,ok,error,wallMs,wallMsPerPage,usd,tokensIn,tokensOut,f1,precision,recall,anyHandF1,globalF1,onsetMeanAbs,durationAcc,barsGt,barsEng,barsAligned,barsExactDur,barsOverfull,barsUnderfull,geoRecall,geoXIoU,scoreDataMeasures,measuresPlaced,measuresWithSlots,systemsWithStaves,fallbackPages,llmCalls,warnings
llm-notes+sys,bach-prelude-848,typeset,3,true,,96604,32201,0.217502,56366,10477,0.0349,0.0382,0.0321,0.051,0.0242,73.8,0.9615,104,102,102,60,42,0,0,,102,0,0,0,0,17,measure_overfull measure_underfull tempo_defaulted no_geometry
llm-notes+sys,beethoven-8-2,typeset,8,true,,127063,15883,0.357042,94561,16792,0.0853,0.0857,0.085,0.1347,0.0189,59.4,0.7929,73,91,73,0,73,0,0,,91,0,0,0,0,27,meter_corrected measure_underfull measure_overfull dynamics_not_staff_split tempo_defaulted no_geometry
llm-notes+sys,haydn-39-3,typeset,5,true,,177645,35529,0.345106,89183,16674,0.1398,0.14,0.1395,0.1551,0.0708,30.7,0.863,121,129,121,92,29,0,0,,258,0,0,0,0,28,measure_underfull measure_overfull dynamics_not_staff_split tempo_defaulted no_geometry repeats_unrolled
llm-notes+sys,mozart-11-3,typeset,5,true,,174158,34832,0.35822000000000004,95960,16630,0.1385,0.1421,0.1351,0.1435,0.1075,28.4,0.8744,137,138,136,82,54,0,0,,138,0,0,0,0,29,measure_underfull measure_overfull dynamics_not_staff_split tempo_defaulted no_geometry repeats_ignored
llm-notes+sys,mozart-12-2,typeset,6,true,,167960,27993,0.329054,83152,16275,0.1082,0.0971,0.1222,0.123,0.0645,64.8,0.8634,40,106,40,32,8,0,0,,106,0,0,0,0,25,measure_overfull measure_underfull dynamics_not_staff_split tempo_defaulted no_geometry
llm-notes+sys,chopin-10-3,typeset,7,true,,178644,25521,0.38199800000000006,91554,19889,0.1079,0.099,0.1185,0.1517,0.057,65.5,0.9432,78,124,78,54,24,0,0,,124,0,0,0,0,26,measure_overfull measure_underfull dynamics_not_staff_split no_geometry
llm-notes+sys,scriabin-8-11,typeset,3,true,,133736,44579,0.221144,49052,12304,0.0954,0.1001,0.0912,0.1285,0.0514,28.9,0.7692,54,79,54,30,24,0,0,,79,0,0,0,0,15,measure_overfull measure_underfull dynamics_not_staff_split no_geometry
llm-notes+sys,ravel-pavane,typeset,4,true,,164116,41029,0.289724,66947,15583,0.1109,0.1163,0.1059,0.1361,0.0532,14.7,0.6515,72,99,72,49,17,6,0,,99,0,0,0,0,20,measure_overfull measure_underfull dynamics_not_staff_split no_geometry
llm-notes+sys,bach-846-prelude-fugue,typeset,7,true,,88214,12602,0.340694,101502,13769,0.1271,0.1203,0.1347,0.1444,0.0578,58.8,0.8295,62,87,62,24,38,0,0,,87,0,0,0,0,30,meter_suspect measure_overfull measure_underfull tempo_defaulted no_geometry
llm-notes+sys,bach-prelude-846-scan,scan,2,true,,42558,21279,0.139752,39446,6086,0.0837,0.0761,0.0929,0.0886,0.0788,68.2,0.7451,35,35,35,19,16,0,,,35,0,0,0,0,12,meter_suspect measure_overfull measure_underfull tempo_defaulted no_geometry
llm-notes+sys,bach-fugue-846-scan,scan,2,true,,34904,17452,0.131356,39608,5214,0.1386,0.1511,0.128,0.1629,0.1029,59.4,0.8247,27,29,27,4,23,0,,,29,0,0,0,0,12,meter_suspect measure_overfull measure_underfull tempo_defaulted no_geometry
llm-notes+sys,beethoven-8-2-scan,scan,3,true,,115691,38564,0.2724,67710,13698,0.0548,0.0576,0.0522,0.0975,0.0414,48.6,0.8488,73,75,72,0,72,0,,,75,0,0,0,0,19,meter_corrected measure_underfull measure_overfull dynamics_not_staff_split tempo_defaulted no_geometry
llm-notes+sys,beethoven-8-2-scan-berg,scan,4,true,,72767,18192,0.24686399999999997,65252,11636,0.0425,0.0523,0.0358,0.1275,0.0468,67.3,0.7288,73,75,73,53,20,0,,,75,0,0,0,0,20,measure_underfull measure_overfull dynamics_not_staff_split tempo_defaulted no_geometry
llm-notes+sys,haydn-39-3-scan,scan,4,true,,118213,29553,0.23618,63210,10976,0.0527,0.0791,0.0395,0.0663,0.0569,56.1,0.7903,121,94,94,79,15,0,,,94,0,0,0,0,19,measure_overfull measure_underfull dynamics_not_staff_split no_geometry
llm-notes+sys,mozart-11-3-scan,scan,4,true,,127154,31789,0.265422,63376,13867,0.1355,0.1434,0.1284,0.1419,0.069,40.6,0.8491,137,107,107,0,107,0,,,146,0,0,0,0,20,measure_underfull measure_overfull dynamics_not_staff_split tempo_defaulted no_geometry repeats_unrolled
llm-notes+sys,chopin-10-3-scan,scan,4,true,,127389,31847,0.269676,62363,14495,0.1037,0.105,0.1025,0.1524,0.0571,71.7,0.8687,78,84,77,0,77,0,,,84,0,0,0,0,18,meter_corrected measure_underfull measure_overfull dynamics_not_staff_split no_geometry
llm-notes+sys,scriabin-8-11-scan,scan,3,true,,103063,34354,0.23938600000000004,58613,12216,0.093,0.0998,0.087,0.1395,0.0615,38.1,0.8065,54,73,54,19,35,0,,,73,0,0,0,0,17,meter_suspect measure_overfull measure_underfull dynamics_not_staff_split no_geometry
llm-notes+sys-high,bach-prelude-846,typeset,3,true,,49512,16504,0.15782000000000002,46110,6560,0.1236,0.1084,0.1439,0.1565,0.0892,72.2,0.8734,35,37,35,13,22,0,0,,37,0,0,0,0,14,meter_suspect measure_overfull measure_underfull tempo_defaulted no_geometry
llm-notes+sys-opus,bach-prelude-846,typeset,3,true,,30618,10206,0.37073999999999996,45158,5798,0.2295,0.2295,0.2295,0.2714,0.1785,88.6,0.9524,35,37,35,24,11,0,0,,37,0,0,0,0,14,measure_overfull measure_underfull tempo_defaulted no_geometry
llm-notes+sys-opus,bach-fugue-846,typeset,4,true,,39184,9796,0.42778,54286,6254,0.217,0.2264,0.2084,0.2225,0.1442,54.1,0.8734,27,35,27,11,16,0,0,,70,0,0,0,0,16,meter_suspect measure_overfull measure_underfull tempo_defaulted no_geometry repeats_unrolled
llm-notes+sys-opus,haydn-39-3,typeset,5,true,,69166,13833,0.8343200000000001,87279,15917,0.1615,0.1625,0.1605,0.1737,0.1205,26.6,0.9008,121,123,121,112,9,0,0,,246,0,0,0,0,28,measure_underfull measure_overfull dynamics_not_staff_split tempo_defaulted no_geometry repeats_unrolled
llm-notes+sys-opus,bach-prelude-846-scan,scan,2,true,,26445,13223,0.33035000000000003,38630,5488,0.1983,0.2059,0.1913,0.2134,0.1662,83.4,0.9905,35,35,35,31,4,0,,,35,0,0,0,0,12,measure_overfull tempo_defaulted no_geometry
llm-notes+sys-rerun,bach-prelude-846,typeset,3,true,,81135,27045,0.158162,46071,6602,0.0979,0.0854,0.1148,0.1228,0.073,75.2,0.8413,35,37,35,10,25,0,0,,37,0,0,0,0,14,meter_suspect measure_overfull measure_underfull tempo_defaulted no_geometry
llm-notes+sys-rerun,bach-fugue-846,typeset,4,true,,80041,20010,0.18351800000000001,55374,7277,0.1087,0.1079,0.1095,0.1297,0.0851,54.9,0.8554,27,51,27,16,11,0,0,,51,0,0,0,0,16,meter_suspect measure_overfull measure_underfull tempo_defaulted no_geometry
